 Dia, Hora,Sistema, Eolica, Fotovoltaica,  Biomasa, Carboelectrica, Ciclo Combinado, Combustion Interna, Geotermoelectrica, Hidroelectrica, Nucleoelectrica, Termica Convencional, Turbo Gas,Total-MWh
01/01/2020,1,SEN,2077.3199,0.0103,26.5843,1303.8717,15912.6802,223.538,558.3567,1005.1063,1562.6114,1797.9869,1369.7043,25837.77
01/01/2020,2,SEN,1867.3706,0,26.5481,1124.3932,15662.694,213.4383,558.5013,823.6384,1563.683,1790.6783,1385.3979,25016.3431
01/01/2020,3,SEN,1630.8505,0,25.3288,969.8357,15254.6459,209.7134,557.823,776.7613,1563.534,1784.397,1384.8616,24157.7512
01/01/2020,4,SEN,1626.4686,0,25.7136,967.9433,14627.28,206.7111,557.7566,675.0318,1563.1209,1775.0285,1383.9039,23408.9583
01/01/2020,5,SEN,1660.6236,0,25.3357,968.7607,14027.452,205.0509,558.2736,696.1017,1563.7447,1774.8299,1366.3635,22846.5363
01/01/2020,6,SEN,1504.3979,0,26.0772,973.1035,13534.1994,211.5778,558.2419,991.3778,1563.9844,1772.7958,1363.0279,22498.7836
01/01/2020,7,SEN,1219.2255,0.2426,27.7087,969.7614,12949.2873,213.995,557.9761,1746.6036,1564.8108,1767.6805,1361.8466,22379.1381
01/01/2020,8,SEN,1132.735,35.754,27.8156,929.6027,12568.3393,213.1084,556.4443,1555.5634,1564.4023,1674.7298,1363.953,21622.4478
01/01/2020,9,SEN,1047.2836,321.0576,26.341,898.7765,12501.8573,215.9312,557.1372,1465.0723,1564.6322,1568.8042,1367.5725,21534.4656
01/01/2020,10,SEN,1189.7349,857.8423,25.2539,899.0641,12465.0933,207.4577,555.6062,1357.1948,1564.4234,1544.2611,1364.6547,22030.5864
01/01/2020,11,SEN,1151.2682,1377.4832,21.0324,903.3819,12608.8211,210.0344,554.1456,1551.5098,1564.0261,1541.9128,1362.9498,22846.5653
01/01/2020,12,SEN,900.7833,1572.5137,28.9428,907.7046,13602.873,212.3714,550.2235,1352.3771,1563.0433,1557.7446,1364.1357,23612.713
01/01/2020,13,SEN,619.104,1703.7216,28.4049,906.3201,14379.0442,206.5559,548.8503,1318.5816,1563.2076,1556.8791,1359.6516,24190.3209
01/01/2020,14,SEN,548.8992,1656.2656,27.9227,911.0782,14863.1914,206.515,548.3371,804.8069,1562.2896,1582.8651,1356.8222,24068.993
01/01/2020,15,SEN,785.9609,1525.4503,26.3857,909.5894,15058.0181,224.7783,546.9446,630.5348,1561.9603,1582.2107,1350.8681,24202.7012
01/01/2020,16,SEN,1122.5492,1342.2029,24.2561,916.6172,14897.7465,225.6938,546.8471,777.3282,1561.3151,1596.1757,1349.3382,24360.07
01/01/2020,17,SEN,1049.1297,971.5744,24.863,974.1633,15243.3638,228.8117,547.2489,1001.1,1561.506,1583.741,1355.274,24540.7758
01/01/2020,18,SEN,955.834,425.9512,27.8941,1061.9052,16133.2853,234.9838,548.7165,1265.6057,1561.97,1610.3682,1366.2473,25192.7613
01/01/2020,19,SEN,1108.8152,23.8864,26.7519,1225.4952,18140.9685,235.0653,548.6067,1837.1329,1561.6535,1716.5993,1461.977,27886.9519
01/01/2020,20,SEN,1257.8409,0,26.5104,1225.9486,18651.4188,234.1654,549.5493,2775.4963,1558.8012,1724.7944,1497.2898,29501.8151
01/01/2020,21,SEN,1238.6046,0,27.2983,1219.2968,18632.1519,241.3905,549.571,2832.422,1556.9612,1713.3898,1492.7415,29503.8276
01/01/2020,22,SEN,1225.4649,0,27.7439,1231.8816,18404.3903,239.2599,549.7026,2344.0587,1557.3408,1719.3619,1494.5068,28793.7114
01/01/2020,23,SEN,1326.9326,0,27.2611,1241.0195,17782.0358,241.4368,548.5995,1796.5191,1558.2898,1672.8468,1470.6944,27665.6354
01/01/2020,24,SEN,1100.635,0,26.7309,1239.2337,17134.1266,226.5888,549.769,1608.1508,1558.6945,1524.7021,1377.9665,26346.5979
02/01/2020,1,SEN,904.3231,0,19.561,1236.7884,16431.7815,206.464,572.1605,956.0655,1559.3354,1446.6668,1360.0288,24693.175
02/01/2020,2,SEN,962.4453,0,19.6977,1226.402,15631.9068,205.6968,576.0247,945.5778,1559.9955,1432.8375,1358.5054,23919.0895
02/01/2020,3,SEN,964.8754,0,15.674,1241.7564,15079.8244,206.5857,577.2359,920.0879,1560.5456,1441.2383,1360.4343,23368.2579
02/01/2020,4,SEN,930.8644,0,13.2648,1234.1211,14752.364,203.4859,577.3714,782.3421,1561.2589,1471.4177,1358.6596,22885.1499
02/01/2020,5,SEN,1008.0905,0,14.8619,1239.5495,14997.8682,201.8244,579.145,747.624,1560.9528,1436.9672,1341.4433,23128.3268
02/01/2020,6,SEN,1191.3881,0,13.3403,1237.6425,15413.3795,206.2811,580.1,980.866,1561.5161,1475.7936,1304.6154,23964.9226
02/01/2020,7,SEN,1274.1103,0.5364,4.6485,1244.3308,16546.8103,213.5374,580.6722,1261.0671,1561.6085,1545.6307,1390.898,25623.8502
02/01/2020,8,SEN,1291.4237,38.5553,2.6322,1237.6684,17840.0951,223.4027,578.8924,1317.7138,1562.2374,1634.5188,1422.6298,27149.7696
02/01/2020,9,SEN,1384.9228,477.3742,2.4687,1236.568,18575.3862,222.2758,577.4391,1289.8295,1562.9282,1981.3603,1450.4842,28761.037
02/01/2020,10,SEN,1652.314,1487.7806,2.1539,1237.2719,18738.3074,221.7934,572.2231,1165.228,1562.3862,2213.3155,1450.6568,30303.4308
02/01/2020,11,SEN,2020.8098,2228.0519,1.6634,1240.6307,18574.0085,213.8672,567.252,1029.4305,1561.9594,2333.836,1444.8279,31216.3373
02/01/2020,12,SEN,2376.4821,2534.0457,4.5887,1244.658,18765.2125,216.3498,550.5999,969.5273,1561.3374,2380.1688,1434.5508,32037.521
