Fecha, Hora,Sistema, Area, Pronostico (MWh),,,
01/01/2020,1,BCA,BCA,1006.009,,,
01/01/2020,2,BCA,BCA,979.489,,,
01/01/2020,3,BCA,BCA,955.624,,,
01/01/2020,4,BCA,BCA,926.639,,,
01/01/2020,5,BCA,BCA,904.216,,,
01/01/2020,6,BCA,BCA,892.401,,,
01/01/2020,7,BCA,BCA,873.014,,,
01/01/2020,8,BCA,BCA,841.099,,,
01/01/2020,9,BCA,BCA,863.128,,,
01/01/2020,10,BCA,BCA,891.546,,,
01/01/2020,11,BCA,BCA,919.594,,,
01/01/2020,12,BCA,BCA,932.641,,,
01/01/2020,13,BCA,BCA,937.668,,,
01/01/2020,14,BCA,BCA,939.568,,,
01/01/2020,15,BCA,BCA,942.732,,,
01/01/2020,16,BCA,BCA,948.445,,,
01/01/2020,17,BCA,BCA,987.501,,,
01/01/2020,18,BCA,BCA,1117.058,,,
01/01/2020,19,BCA,BCA,1155.638,,,
01/01/2020,20,BCA,BCA,1167.258,,,
01/01/2020,21,BCA,BCA,1160.102,,,
01/01/2020,22,BCA,BCA,1124.257,,,
01/01/2020,23,BCA,BCA,1073.906,,,
01/01/2020,24,BCA,BCA,1007.112,,,
01/01/2020,1,BCS,BCS,215.518,,,
01/01/2020,2,BCS,BCS,204.425,,,
01/01/2020,3,BCS,BCS,195.495,,,
01/01/2020,4,BCS,BCS,190.516,,,
01/01/2020,5,BCS,BCS,186.579,,,
01/01/2020,6,BCS,BCS,187.294,,,
01/01/2020,7,BCS,BCS,188.583,,,
01/01/2020,8,BCS,BCS,188.527,,,
01/01/2020,9,BCS,BCS,197.523,,,
01/01/2020,10,BCS,BCS,206.162,,,
01/01/2020,11,BCS,BCS,210.272,,,
01/01/2020,12,BCS,BCS,213.011,,,
01/01/2020,13,BCS,BCS,213.219,,,
01/01/2020,14,BCS,BCS,214.1,,,
01/01/2020,15,BCS,BCS,213.787,,,
01/01/2020,16,BCS,BCS,214.952,,,
01/01/2020,17,BCS,BCS,218.289,,,
01/01/2020,18,BCS,BCS,227.584,,,
01/01/2020,19,BCS,BCS,251.139,,,
01/01/2020,20,BCS,BCS,250.599,,,
01/01/2020,21,BCS,BCS,243.821,,,
01/01/2020,22,BCS,BCS,235.253,,,
01/01/2020,23,BCS,BCS,220.639,,,
01/01/2020,24,BCS,BCS,205.193,,,
01/01/2020,1,SIN,CEN,5089.246,,,
01/01/2020,2,SIN,CEN,4838.853,,,
01/01/2020,3,SIN,CEN,4582.806,,,
01/01/2020,4,SIN,CEN,4363.246,,,
01/01/2020,5,SIN,CEN,4204.142,,,
01/01/2020,6,SIN,CEN,4122.613,,,
01/01/2020,7,SIN,CEN,4082.499,,,
01/01/2020,8,SIN,CEN,3985.709,,,
01/01/2020,9,SIN,CEN,4023.736,,,
01/01/2020,10,SIN,CEN,4189.864,,,
01/01/2020,11,SIN,CEN,4388.029,,,
01/01/2020,12,SIN,CEN,4570.358,,,
01/01/2020,13,SIN,CEN,4734.734,,,
01/01/2020,14,SIN,CEN,4775.185,,,
01/01/2020,15,SIN,CEN,4820.598,,,
01/01/2020,16,SIN,CEN,4889.558,,,
01/01/2020,17,SIN,CEN,4969.313,,,
01/01/2020,18,SIN,CEN,5016.201,,,
01/01/2020,19,SIN,CEN,5680.552,,,
01/01/2020,20,SIN,CEN,6136.723,,,
01/01/2020,21,SIN,CEN,6149.803,,,
01/01/2020,22,SIN,CEN,5973.923,,,
01/01/2020,23,SIN,CEN,5594.103,,,
01/01/2020,24,SIN,CEN,5198.187,,,
01/01/2020,1,SIN,NES,3808.465,,,
01/01/2020,2,SIN,NES,3729.137,,,
01/01/2020,3,SIN,NES,3639.932,,,
01/01/2020,4,SIN,NES,3561.921,,,
01/01/2020,5,SIN,NES,3497.759,,,
01/01/2020,6,SIN,NES,3445.889,,,
01/01/2020,7,SIN,NES,3416.251,,,
01/01/2020,8,SIN,NES,3310.919,,,
01/01/2020,9,SIN,NES,3275.211,,,
01/01/2020,10,SIN,NES,3330.645,,,
01/01/2020,11,SIN,NES,3392.462,,,
01/01/2020,12,SIN,NES,3499.875,,,
01/01/2020,13,SIN,NES,3536.636,,,
01/01/2020,14,SIN,NES,3564.001,,,
01/01/2020,15,SIN,NES,3561.209,,,
01/01/2020,16,SIN,NES,3571.676,,,
01/01/2020,17,SIN,NES,3594.102,,,
01/01/2020,18,SIN,NES,3693.427,,,
01/01/2020,19,SIN,NES,4101.828,,,
01/01/2020,20,SIN,NES,4285.564,,,
01/01/2020,21,SIN,NES,4351.965,,,
01/01/2020,22,SIN,NES,4328.536,,,
01/01/2020,23,SIN,NES,4248.141,,,
01/01/2020,24,SIN,NES,4110.172,,,
01/01/2020,1,SIN,NOR,1702.279,,,
01/01/2020,2,SIN,NOR,1674.9,,,
01/01/2020,3,SIN,NOR,1641.539,,,
01/01/2020,4,SIN,NOR,1587.152,,,
01/01/2020,5,SIN,NOR,1541.383,,,
01/01/2020,6,SIN,NOR,1523.55,,,
01/01/2020,7,SIN,NOR,1496.756,,,
